studno,description,action,datefiled,dateresolved
2003-03718,malesuada in imperdiet et commodo vulputate justo in blandit ultrices,ultrices,1990-02-20,1999-04-06
1998-96440,faucibus accumsan odio curabitur convallis,blandit,1990-10-06,1997-03-11
1995-41748,nullam molestie nibh in lectus pellentesque at nulla suspendisse,amet,1993-05-22,1994-07-01
1994-05275,molestie nibh in lectus pellentesque at,fermentum,1996-06-26,1995-09-22
2014-47781,sit amet nunc viverra dapibus nulla suscipit ligula in,et,1991-09-01,1999-02-13
1999-37953,nulla suscipit ligula in lacus curabitur at ipsum ac,neque,1997-08-09,1995-02-26
1996-92675,est phasellus sit amet erat nulla,volutpat,1997-09-06,1999-06-06
2012-64289,luctus et ultrices posuere cubilia curae mauris viverra,montes,1999-08-06,1998-11-28
1999-36028,dui luctus rutrum nulla tellus in sagittis dui vel,orci,1990-12-18,2000-04-16
2007-65381,integer ac neque duis bibendum morbi non quam nec dui,in,1997-03-06,1995-02-26
2016-66886,nulla nunc purus phasellus in felis donec semper,massa,1995-06-24,1994-08-27
2015-89060,in hac habitasse platea dictumst maecenas ut massa quis augue,dictumst,1998-03-29,1996-10-31
2012-66191,sagittis dui vel nisl duis ac nibh,in,1992-11-23,1990-11-12
1999-71078,pretium iaculis justo in hac habitasse platea dictumst etiam,felis,1991-11-18,1999-04-18
1993-74589,id lobortis convallis tortor risus dapibus augue,sit,1997-12-22,1995-02-11
1996-77638,id pretium iaculis diam erat fermentum justo nec condimentum,volutpat,1991-04-14,1990-04-08
1995-64145,malesuada in imperdiet et commodo vulputate justo in,condimentum,1997-11-09,2000-10-02
2011-35607,in faucibus orci luctus et ultrices posuere cubilia,mattis,1995-02-18,1999-11-19
2015-52760,risus dapibus augue vel accumsan tellus nisi eu,lectus,1999-03-08,1995-02-08
2011-78761,suspendisse ornare consequat lectus in est risus auctor sed tristique,pretium,1995-12-31,1998-07-06
2012-18021,dui nec nisi volutpat eleifend donec,quisque,1990-05-14,2000-11-24
2009-51135,non sodales sed tincidunt eu felis,ligula,1993-01-23,1998-06-16
2016-59875,nulla justo aliquam quis turpis,vel,1997-01-21,1991-03-08
2008-93513,mauris laoreet ut rhoncus aliquet pulvinar sed nisl,interdum,1998-05-18,1992-08-23
2019-67902,pede morbi porttitor lorem id,aliquet,1994-05-29,1993-07-08
1997-71061,condimentum id luctus nec molestie sed justo,vel,2000-11-28,1997-04-04
2011-52838,posuere cubilia curae mauris viverra diam vitae quam,id,1997-07-12,1999-01-07
2017-26447,justo nec condimentum neque sapien placerat ante nulla justo,tempus,1993-04-06,1997-02-01
1990-66435,ipsum dolor sit amet consectetuer adipiscing elit,dui,1998-04-22,1999-09-11
2014-82114,cubilia curae mauris viverra diam vitae quam suspendisse potenti,at,1998-08-04,1993-06-26
2009-45901,maecenas rhoncus aliquam lacus morbi,enim,1993-07-10,1992-12-12
1994-53700,morbi non quam nec dui luctus rutrum,proin,1999-07-04,1996-04-22
2003-81277,blandit ultrices enim lorem ipsum,justo,1997-02-23,1991-12-24
2015-58228,vestibulum ante ipsum primis in faucibus orci,eget,2000-02-10,1993-09-06
2018-63957,a ipsum integer a nibh in quis justo,lacus,1991-04-14,1992-04-05
2004-88292,lorem ipsum dolor sit amet consectetuer adipiscing elit,adipiscing,1999-04-17,1994-10-26
2012-54878,cras non velit nec nisi vulputate,scelerisque,2000-08-01,1991-05-29
2013-96646,quam sapien varius ut blandit,nec,1991-03-05,1990-11-17
2002-06739,tincidunt lacus at velit vivamus vel,consequat,1991-11-20,1990-10-30
2012-85090,varius integer ac leo pellentesque ultrices,condimentum,2000-12-07,1996-10-13
2017-01727,nunc vestibulum ante ipsum primis in faucibus,nec,1998-03-15,1998-04-05
2008-43722,cubilia curae duis faucibus accumsan,aliquam,1996-03-26,1998-01-04
1992-65084,ut odio cras mi pede malesuada in imperdiet,rutrum,2000-03-09,1997-05-24
1990-42236,purus aliquet at feugiat non pretium,enim,1997-02-13,1993-04-21
1994-21300,sollicitudin ut suscipit a feugiat,tempor,2000-08-10,1991-11-25
2014-19235,tempus vivamus in felis eu sapien cursus,tristique,1998-05-01,1996-09-29
2018-77023,hac habitasse platea dictumst maecenas ut massa quis augue,fringilla,1990-07-15,1998-08-14
2013-69523,vel augue vestibulum ante ipsum primis in faucibus,id,1991-10-03,1995-10-08
2000-77660,quis odio consequat varius integer ac leo pellentesque ultrices,vel,1998-03-20,1994-09-14
2013-69494,elementum pellentesque quisque porta volutpat erat,vestibulum,1990-04-05,1999-04-23
2015-46282,enim in tempor turpis nec euismod,odio,1996-05-30,1995-12-09
1994-65534,sagittis nam congue risus semper porta volutpat,tempus,1998-01-19,1994-05-15
1994-08456,lobortis est phasellus sit amet erat nulla,duis,1990-06-19,1995-01-27
2015-10781,mattis pulvinar nulla pede ullamcorper augue,pulvinar,1995-05-27,2000-09-30
2017-22370,etiam justo etiam pretium iaculis justo in hac habitasse,mi,1993-01-21,1998-12-08
2015-69751,nisl ut volutpat sapien arcu,sagittis,1993-01-06,1994-10-16
2002-35027,luctus nec molestie sed justo pellentesque,ornare,1991-08-19,1997-12-17
2006-60192,varius nulla facilisi cras non,non,2000-07-20,1999-03-12
1995-88251,tortor risus dapibus augue vel,nulla,1994-02-13,1995-08-04
2003-90802,vel dapibus at diam nam tristique tortor,leo,1995-06-13,2000-06-24
2004-96762,integer aliquet massa id lobortis convallis tortor,nec,1999-04-23,1996-09-04
1996-04906,sollicitudin mi sit amet lobortis sapien,quis,1993-12-17,1996-10-22
2008-22762,sed justo pellentesque viverra pede ac,odio,1993-12-12,1998-04-02
2000-02048,tortor risus dapibus augue vel,et,1995-11-12,1993-01-15
1999-57756,amet nunc viverra dapibus nulla,leo,1994-02-08,1998-12-25
2005-09513,blandit non interdum in ante vestibulum ante ipsum primis in,velit,1994-07-16,1997-12-04
2018-13382,enim sit amet nunc viverra dapibus,sit,2000-05-10,1991-06-28
2002-60943,rutrum at lorem integer tincidunt ante vel ipsum praesent,molestie,1997-11-04,1999-04-16
2007-86337,lacus at velit vivamus vel nulla eget eros,ultrices,1995-05-03,2000-03-19
1993-24364,lacus purus aliquet at feugiat non pretium quis lectus suspendisse,potenti,1992-06-09,1993-02-23
2007-92084,tristique est et tempus semper est quam pharetra magna,ipsum,2000-03-27,1992-06-24
2011-90804,in magna bibendum imperdiet nullam orci pede,vel,1996-08-03,1990-08-26
2007-14238,interdum venenatis turpis enim blandit mi in porttitor pede justo,volutpat,1996-11-30,1995-10-09
1990-87130,eget semper rutrum nulla nunc purus phasellus,donec,1992-09-16,1997-12-17
2018-80281,in blandit ultrices enim lorem ipsum dolor,luctus,1996-04-01,2000-07-02
2015-78147,justo lacinia eget tincidunt eget tempus vel pede,nec,1990-07-08,1991-06-23
2005-23499,quis orci eget orci vehicula condimentum curabitur in,sapien,1996-05-20,1994-09-11
2011-68916,pede lobortis ligula sit amet eleifend pede libero,in,1995-08-23,1990-10-03
1994-43568,nulla suscipit ligula in lacus curabitur,placerat,1999-11-28,1998-04-20
2007-49959,in blandit ultrices enim lorem ipsum dolor,suspendisse,1990-07-27,1991-10-20
2012-95984,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,semper,1990-05-26,2000-08-27
2016-47893,eu magna vulputate luctus cum sociis natoque penatibus,fusce,1997-09-19,1999-12-01
2007-33517,massa id nisl venenatis lacinia aenean sit amet,posuere,1992-06-20,1998-02-21
2015-86343,posuere cubilia curae nulla dapibus dolor vel est donec,tristique,1992-11-29,2000-08-08
2017-46174,in magna bibendum imperdiet nullam orci pede venenatis non sodales,odio,1991-03-06,1992-10-06
1996-56597,non ligula pellentesque ultrices phasellus,sem,1992-10-13,1995-10-22
2000-12283,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,ultricies,1999-03-09,1992-12-02
2003-29633,ipsum integer a nibh in quis justo maecenas rhoncus,tortor,1990-10-31,1999-07-13
2015-21585,orci pede venenatis non sodales,at,1993-07-20,1991-01-15
2018-66560,pharetra magna ac consequat metus sapien ut nunc vestibulum ante,felis,1991-10-25,1990-12-04
2012-71857,sed vestibulum sit amet cursus id turpis integer,ligula,1995-08-02,2000-11-03
1995-93070,praesent blandit nam nulla integer pede justo,ac,1994-02-27,1995-11-02
1996-28519,amet sem fusce consequat nulla nisl,ligula,1994-07-19,1994-09-11
2000-38006,magna vestibulum aliquet ultrices erat tortor,phasellus,1990-01-06,1995-07-30
2004-93994,eu nibh quisque id justo sit amet sapien,accumsan,1995-03-05,1992-11-20
2011-53589,nulla pede ullamcorper augue a suscipit nulla elit,diam,1994-11-21,1992-11-06
2010-79971,ultrices posuere cubilia curae mauris viverra diam,parturient,1990-08-06,1991-05-05
2008-46209,libero nam dui proin leo,euismod,1997-05-05,1996-01-04
1990-99803,pharetra magna vestibulum aliquet ultrices,tristique,1993-05-07,1997-02-13
2002-50875,eget congue eget semper rutrum nulla nunc purus,id,1997-02-02,1992-04-06
1994-21252,quam a odio in hac,habitasse,1997-01-07,1996-12-11
2019-69421,rutrum rutrum neque aenean auctor gravida sem,vulputate,1993-02-27,1991-11-20
1998-45293,luctus nec molestie sed justo pellentesque viverra pede,tincidunt,1995-10-02,1994-03-12
2012-96086,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,felis,1998-06-11,1998-07-27
2017-01305,praesent blandit nam nulla integer pede,ut,1994-10-04,1995-12-24
2002-14543,ipsum integer a nibh in quis justo maecenas rhoncus aliquam,nisi,1993-03-13,1998-06-08
2004-08052,nullam molestie nibh in lectus pellentesque,sociis,1990-02-17,1991-06-30
2018-21211,erat quisque erat eros viverra eget congue eget,dolor,1990-08-29,1993-04-16
2016-19599,volutpat dui maecenas tristique est et tempus semper,erat,2000-06-22,1994-05-05
2013-09568,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,gravida,1999-11-21,1990-12-02
1998-86376,erat vestibulum sed magna at nunc commodo,suscipit,1991-09-18,2000-01-21
2018-74376,nulla mollis molestie lorem quisque ut,consequat,2000-08-09,1995-05-05
2015-66252,cubilia curae duis faucibus accumsan odio curabitur convallis duis,diam,1996-01-03,1993-09-28
2008-22456,vulputate elementum nullam varius nulla facilisi cras non velit,viverra,1996-10-13,1994-10-16
1994-64151,elit proin interdum mauris non ligula pellentesque ultrices phasellus,lacus,1991-09-19,1995-09-29
2015-86962,nec dui luctus rutrum nulla,maecenas,1995-03-03,1990-04-28
1999-81502,cubilia curae duis faucibus accumsan odio curabitur,velit,1999-08-31,1992-05-08
1998-33012,cras in purus eu magna vulputate luctus cum,massa,1990-01-08,1990-07-18
2010-58286,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,duis,1992-03-08,2000-10-02
2014-72601,eleifend luctus ultricies eu nibh,maecenas,1997-04-23,1992-02-15
2017-52545,luctus et ultrices posuere cubilia curae,sed,1991-04-07,1996-06-10
2012-61473,dapibus dolor vel est donec odio justo sollicitudin ut,sapien,1990-11-25,1995-07-26
2013-21386,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,enim,2000-05-15,1992-03-30
2014-82513,lacus curabitur at ipsum ac tellus semper interdum mauris,eget,1994-02-03,1992-02-14
1992-16719,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent,eu,1994-06-08,1996-10-13
2004-12535,luctus cum sociis natoque penatibus et magnis dis,vitae,1998-06-25,1995-02-17
1991-05070,ante vivamus tortor duis mattis egestas,erat,1997-12-31,1996-06-20
2018-28820,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,etiam,1993-09-09,1990-11-15
1994-16931,ut massa volutpat convallis morbi,primis,1992-09-02,1993-04-03
1992-83564,enim blandit mi in porttitor pede justo,potenti,1992-06-23,1997-09-28
2014-13775,nisl duis ac nibh fusce lacus purus aliquet,bibendum,1995-02-15,1997-08-13
1990-33178,proin eu mi nulla ac enim in,tincidunt,1990-03-19,1991-05-25
2017-02701,duis mattis egestas metus aenean fermentum,sit,1993-09-07,1997-02-05
2006-11932,in hac habitasse platea dictumst morbi vestibulum,id,1992-12-12,1995-10-05
2019-78741,ultrices vel augue vestibulum ante,eleifend,1994-06-22,1991-02-16
1995-46958,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,iaculis,2000-10-03,1996-12-15
1993-48462,duis ac nibh fusce lacus purus aliquet at feugiat,curae,1998-12-07,1996-10-20
2007-28831,at velit vivamus vel nulla eget,posuere,2000-01-04,1999-07-15
2011-38826,pede lobortis ligula sit amet eleifend pede libero quis orci,dictumst,2000-02-03,1994-10-22
2000-02754,consequat metus sapien ut nunc vestibulum ante ipsum,enim,1997-12-03,1996-08-10
2018-21735,mauris laoreet ut rhoncus aliquet pulvinar sed nisl,eleifend,1991-09-16,2000-05-16
2015-82792,nec nisi vulputate nonummy maecenas tincidunt lacus at velit,in,1997-10-04,1997-08-08
2011-87249,pede justo eu massa donec dapibus duis,eu,1990-03-03,1992-08-25
2001-68784,porttitor lacus at turpis donec,vel,1993-11-28,1993-05-27
1991-02167,libero quis orci nullam molestie nibh in lectus,erat,1999-06-01,1998-07-20
2016-39887,turpis enim blandit mi in,duis,1994-03-19,1994-12-27
1994-69590,cubilia curae donec pharetra magna vestibulum aliquet ultrices,congue,1995-11-09,1999-02-22
2013-01334,nibh fusce lacus purus aliquet at feugiat non pretium quis,pharetra,1990-01-18,1991-09-25
1992-29365,purus sit amet nulla quisque arcu,vitae,1997-04-04,1995-06-20
2018-72795,donec dapibus duis at velit eu est,etiam,1996-12-29,1992-11-08
1993-64884,varius integer ac leo pellentesque ultrices,nunc,1996-11-13,1994-06-26
1992-61646,tincidunt eget tempus vel pede,vestibulum,1991-07-01,1991-07-19
1993-18977,lorem ipsum dolor sit amet consectetuer adipiscing elit proin,faucibus,1990-03-15,1997-10-11
2016-07713,sapien arcu sed augue aliquam erat,dui,1998-12-23,1999-12-08
2014-47598,curae mauris viverra diam vitae,maecenas,1993-12-25,1995-06-26
2016-11800,pede posuere nonummy integer non velit donec diam neque,eget,1993-03-20,1991-06-14
2004-39987,ultricies eu nibh quisque id justo sit,sodales,1992-01-28,1992-12-05
2017-67619,quis odio consequat varius integer ac leo,duis,1996-03-29,2000-09-18
2018-63899,quam pharetra magna ac consequat metus sapien ut nunc vestibulum,dis,1997-03-01,1997-03-21
2012-84486,pede morbi porttitor lorem id ligula suspendisse,nulla,1992-07-29,1994-08-22
2017-88044,ut massa quis augue luctus tincidunt nulla,erat,1997-01-19,1991-01-02
1995-13630,non velit nec nisi vulputate,volutpat,1994-02-06,1996-08-29
2016-71056,bibendum felis sed interdum venenatis turpis enim blandit mi,ultricies,1990-06-03,1997-09-13
2015-70841,in faucibus orci luctus et ultrices,turpis,1994-12-09,1993-02-27
2019-59010,pede lobortis ligula sit amet eleifend pede,dolor,1991-12-18,1995-07-11
2004-93909,quam nec dui luctus rutrum nulla tellus,nec,1990-02-23,1995-04-19
2014-46632,nullam varius nulla facilisi cras non velit nec nisi vulputate,volutpat,1990-04-12,1990-01-12
1999-40184,sit amet nunc viverra dapibus,fusce,1993-06-24,1993-07-02
2012-78419,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,aliquam,1998-07-01,1996-03-03
2011-04520,etiam justo etiam pretium iaculis justo in hac habitasse,interdum,1990-02-24,2000-09-11
1994-31477,ac enim in tempor turpis nec,quisque,1991-08-25,1992-02-24
2002-06804,et ultrices posuere cubilia curae,nulla,1994-05-11,1991-05-29
2019-28195,at velit vivamus vel nulla eget eros,in,1992-05-28,2000-06-14
2004-93139,nulla pede ullamcorper augue a suscipit nulla,dictumst,1995-01-15,1997-04-06
2004-31416,quis justo maecenas rhoncus aliquam lacus morbi quis,adipiscing,1996-11-21,1994-10-19
1997-02574,donec diam neque vestibulum eget vulputate,nullam,1991-09-07,1991-09-19
1998-39192,pede venenatis non sodales sed tincidunt,pede,1992-05-25,1994-02-22
2018-16825,etiam pretium iaculis justo in hac habitasse platea dictumst etiam,sociis,1996-08-13,1993-03-11
2014-64485,et magnis dis parturient montes nascetur ridiculus,pretium,1996-07-17,1996-12-12
2017-61424,molestie sed justo pellentesque viverra pede ac diam,vestibulum,1999-03-02,1997-08-02
2015-62905,semper est quam pharetra magna,lectus,1991-01-28,1996-09-30
1990-71582,ac nibh fusce lacus purus aliquet at feugiat non pretium,vulputate,1998-07-17,1991-03-27
2008-48245,eu est congue elementum in hac habitasse platea dictumst morbi,eu,1993-09-11,1995-11-20
2008-39940,sollicitudin mi sit amet lobortis sapien sapien,elit,1997-05-31,1994-08-17
2001-95099,turpis donec posuere metus vitae ipsum aliquam non mauris,donec,1991-03-05,1998-08-31
2008-90417,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,condimentum,1997-01-03,1997-07-12
2013-07131,at feugiat non pretium quis lectus suspendisse,nunc,1991-04-26,1990-08-02
1993-33239,erat curabitur gravida nisi at,ut,1995-08-24,1998-09-13
1997-71942,vestibulum ante ipsum primis in faucibus orci,vestibulum,1996-05-28,1990-09-19
1994-12224,nulla quisque arcu libero rutrum ac lobortis vel dapibus,curabitur,1999-03-09,1997-05-18
1991-70094,aliquam quis turpis eget elit sodales,blandit,1993-10-16,1995-08-28
1999-02886,mauris laoreet ut rhoncus aliquet pulvinar sed,libero,1993-12-31,1997-03-05
1992-65189,eu sapien cursus vestibulum proin eu mi,velit,1992-05-05,1999-09-26
1992-80178,ipsum aliquam non mauris morbi non lectus aliquam,integer,1994-07-18,1992-01-04
2018-03261,neque libero convallis eget eleifend luctus ultricies eu nibh quisque,eleifend,1994-09-28,1999-04-30
2011-40762,nunc purus phasellus in felis donec,consequat,1992-11-29,2000-12-01
2007-93978,rhoncus dui vel sem sed sagittis nam congue,curae,1996-08-14,2000-08-27
2012-11530,eu orci mauris lacinia sapien quis libero,scelerisque,2000-08-26,1993-03-30
2006-74665,ut odio cras mi pede malesuada in imperdiet et,magnis,2000-05-11,1994-10-18
2015-85007,justo etiam pretium iaculis justo,cubilia,1996-01-05,1998-09-26
1991-97512,potenti cras in purus eu,turpis,1990-06-17,2000-09-26
1995-60531,pulvinar nulla pede ullamcorper augue a suscipit nulla,eleifend,1999-04-24,1995-12-17
2011-27279,amet erat nulla tempus vivamus in,vestibulum,1992-09-13,1997-10-31
2011-94372,accumsan tortor quis turpis sed ante vivamus,nec,2000-06-09,1992-04-01
2006-78939,sed interdum venenatis turpis enim blandit mi,ante,1998-07-25,1998-05-03
2017-80980,dolor sit amet consectetuer adipiscing elit proin risus,vitae,1995-06-14,1992-11-29
